City,Livability_Score,Listing_Type,Price,Sq_Ft,Beds,Baths,Estimated_monthly_payment,Crime,Employment,Housing,Schools,User_Ratings,Address_Line_1,Agent_Name,Agent_Company,Airports,Colleges,Military_Bases,Shopping_Centers,Parks_and_Recreation,Utilities,Kitchen_Features,HOA,Parking,Garage,Pool,Laundry,Pets_Allowed,State,Zipcode
San Mateo,75,House ,2398000.0,1950.0,3,2,11325,C+,B+,C+,B-,B,5 Murphy Pl,Greg Damelio,Compass,1,1,1,2,2,2,5,No,No,No,No,Yes,No,CA,94402
San Mateo,75,House ,2598000.0,2450.0,4,3,12270,C+,B+,C+,B-,B,709 28th Ave,Wilson Leung & Assoc,Own Real Estate,1,1,1,1,1,3,7,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,2898000.0,2791.0,4,4,13687,C+,B+,C+,B-,B,450 Turner Ter,Jeff Harber,Compass,1,1,1,1,5,2,5,No,No,No,No,Yes,No,CA,94401
San Mateo,75,House ,1400000.0,1280.0,2,2,6612,C+,B+,C+,B-,B,104 S Fremont Street,Harry Schaedler,"Harry Schaedler, Broker",1,1,1,1,5,4,2,Yes,Yes,Yes,Yes,Yes,No,CA,94401
San Mateo,75,House ,1998000.0,1380.0,3,1,9436,C+,B+,C+,B-,B,133 Burbank Ave,Julie Baumann,Compass,1,2,1,2,1,2,2,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,1498000.0,1430.0,2,1,7075,C+,B+,C+,B-,B,605 Sylvan Ave,Rumana Jabeen,KW Peninsula Estates,1,1,1,2,1,2,8,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,1335000.0,1254.0,2,3,6305,C+,B+,C+,B-,B,1043 Yates Way,Sarah Healy,Sereno,1,2,1,2,2,3,4,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,2498000.0,1640.0,3,2,11798,C+,B+,C+,B-,B,11 Los Altos Pl,Lorie Gillespie,Intero Real Estate Services,1,2,1,2,1,2,5,No,No,No,No,Yes,No,CA,94402
San Mateo,75,House ,2180000.0,2000.0,3,3,10296,C+,B+,C+,B-,B,405 29th Ave,Sternsmith Group,Compass,1,1,1,2,2,3,4,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,1639000.0,1270.0,2,2,7741,C+,B+,C+,B-,B,3504 Winway,Lori Burrows-Warren,Compass,1,1,1,1,1,2,4,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,2898000.0,2210.0,3,3,13687,C+,B+,C+,B-,B,251 Gramercy Dr,Nicholas Delis,Compass,1,1,1,1,5,2,9,No,No,No,No,Yes,No,CA,94402
San Mateo,75,House ,348800.0,1000.0,1,1,1647,C+,B+,C+,B-,B,1 Baldwin Ave 319,Joyce Bartel,Compass,1,1,1,1,5,3,0,No,No,No,No,No,No,CA,94401
San Mateo,75,House ,605000.0,693.0,1,1,2857,C+,B+,C+,B-,B,814 N Delaware St 407,Jennifer Stein,"Homelister, Inc.",1,1,1,2,5,2,2,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,598000.0,570.0,1,1,2824,C+,B+,C+,B-,B,2828 Edison St 17,Lindy Kwock,Berkshire Hathaway HomeServices DrysdaleProperties,1,1,1,2,2,3,6,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,950000.0,1400.0,2,2,4487,C+,B+,C+,B-,B,1 Baldwin Ave 203,The Madani Team,Room Real Estate,1,1,1,1,5,3,0,No,No,No,Yes,No,No,CA,94401
San Mateo,75,House ,645000.0,900.0,1,1,3046,C+,B+,C+,B-,B,3222 Glendora Dr 210,Lu Zhang,KW Peninsula Estates,1,2,1,2,1,3,6,No,No,No,Yes,Yes,No,CA,94403
San Mateo,75,House ,1188000.0,2076.0,2,2,5611,C+,B+,C+,B-,B,50 Mounds Rd 106,Emma Elfving,Compass,1,1,1,1,5,3,5,No,No,No,Yes,Yes,No,CA,94402
San Mateo,75,House ,1600000.0,1730.0,4,3,7557,C+,B+,C+,B-,B,4011 Donner Street,Lisa Karson,Golden Gate Sotheby's International Realty,1,1,1,1,1,2,0,Yes,Yes,Yes,No,No,No,CA,94403
San Mateo,75,House ,2000000.0,1911.0,2,3,9446,C+,B+,C+,B-,B,222 6th Ave 102,Cullinan Luxury,KW Peninsula Estates,1,1,1,1,5,3,12,No,No,No,No,Yes,No,CA,94401
San Mateo,75,House ,1999000.0,1800.0,2,3,9441,C+,B+,C+,B-,B,20 W 3rd Ave 202,Michael Amaroli,Miller/Steil Properties,1,1,1,1,5,3,7,No,No,No,Yes,Yes,No,CA,94402
San Mateo,75,House ,575000.0,702.0,1,1,2716,C+,B+,C+,B-,B,106 W 3rd Ave 2,Christopher Eckert,KW Peninsula Estates,1,1,1,1,5,2,7,No,No,No,No,Yes,No,CA,94402
San Mateo,75,Condo ,1199000.0,2076.0,2,2,5663,C+,B+,C+,B-,B,50 Mounds Rd 401,Martha Longhi,Coldwell Banker Realty,1,1,1,1,5,4,0,No,Yes,Yes,No,No,No,CA,94402
San Mateo,75,House ,980888.0,1400.0,2,2,4633,C+,B+,C+,B-,B,1 Baldwin Ave 403,Diana Nemirovsky,KW Peninsula Estates,1,1,1,1,5,3,7,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,590000.0,693.0,1,1,2786,C+,B+,C+,B-,B,818 N Delaware St 314,Julie Flouty,Compass,1,1,1,2,5,2,0,No,No,No,No,No,No,CA,94401
San Mateo,75,House ,750000.0,1070.0,2,2,3542,C+,B+,C+,B-,B,962 S El Camino Real 201,Kevin Dalonzo,Compass,1,1,1,2,3,2,0,No,No,No,Yes,Yes,No,CA,94402
San Mateo,75,House ,599000.0,1100.0,2,2,2829,C+,B+,C+,B-,B,1 Baldwin Ave 916,Cheryl Price,Compass,1,1,1,1,5,3,6,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,1499999.0,1843.0,2,2,7084,C+,B+,C+,B-,B,111 W 3rd Ave 107,Michael Prevot,Legacy Living Realty,1,1,1,1,5,2,5,No,No,No,Yes,Yes,No,CA,94402
San Mateo,75,House ,995000.0,1300.0,2,2,4699,C+,B+,C+,B-,B,1 Baldwin Ave 810,The Laugesen Team,KW Peninsula Estates,1,1,1,1,5,3,6,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,388000.0,1000.0,1,1,1832,C+,B+,C+,B-,B,1 Baldwin Ave 1007,Michael J. Liffmann,Compass,1,1,1,1,5,3,0,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,399900.0,880.0,1,1,1889,C+,B+,C+,B-,B,601 Laurel Ave 409,Samanta Annuzzi,Real Estate Agent,1,1,1,1,5,3,0,No,No,No,No,Yes,No,CA,94401
San Mateo,75,Condo ,499000.0,1140.0,2,2,2357,C+,B+,C+,B-,B,1 Baldwin Ave 411,Joan Wachter,Coldwell Banker Realty,1,1,1,1,5,4,0,No,Yes,Yes,No,No,No,CA,94401
San Mateo,75,House ,374000.0,1140.0,2,2,1766,C+,B+,C+,B-,B,1 Baldwin Ave 920,Julie Hadidi,Compass,1,1,1,1,5,3,6,No,No,No,Yes,Yes,No,CA,94401
San Mateo,75,House ,899000.0,1400.0,2,2,4246,C+,B+,C+,B-,B,1 Baldwin Ave 223,The Benson Group,Compass,1,1,1,1,5,2,0,No,No,No,Yes,No,No,CA,94401
San Mateo,75,House ,1550000.0,1370.0,4,2,7320,C+,B+,C+,B-,B,10 Casacde Court,Robert Altman,Real Estate Unlimited,1,1,1,2,5,2,0,Yes,Yes,No,Yes,No,No,CA,94401
Burlingame,81,House ,2795000.0,1700.0,3,2,13200,D,A,B,A,A+,2418 Hillside Dr,Sternsmith Group,Compass,1,2,2,2,1,2,11,No,No,No,No,Yes,No,CA,94010
Burlingame,81,House ,828000.0,1032.0,2,2,3911,D,A,B,A,A+,1500 Willow Ave 202,Langford Sinclair,Compass,1,2,1,2,5,2,7,No,No,No,No,Yes,No,CA,94010
Burlingame,81,House ,1588000.0,1740.0,2,2,7500,D,A,B,A,A+,110 Park Rd 103,The Pickett Group,KW Peninsula Estates,1,2,1,2,5,3,0,No,No,No,Yes,Yes,No,CA,94010
Burlingame,81,House ,2198000.0,1700.0,3,2,10381,D,A,B,A,A+,1734 Quesada Way,Laura Bryant,KW Peninsula Estates,1,2,2,2,1,2,10,No,No,No,No,Yes,No,CA,94010
Burlingame,81,Condo ,1350000.0,1740.0,2,2,6376,D,A,B,A,A+,110 Park Rd 205,Louie Kappen,Coldwell Banker Realty,1,2,1,2,5,3,0,No,Yes,Yes,No,No,No,CA,94010
Burlingame,81,Townhouse ,999980.0,1045.0,1,2,4723,D,A,B,A,A+,1137 Paloma Ave E,Ming Lay,SunTrust Realty,1,2,1,2,2,3,9,Yes,Yes,Yes,Yes,Yes,No,CA,94010
Burlingame,81,House ,1800000.0,2058.0,2,3,8501,D,A,B,A,A+,110 Park Rd 502,Carmen Miranda,Compass,1,2,1,2,5,3,5,No,No,No,Yes,Yes,No,CA,94010
Burlingame,81,House ,1650000.0,1680.0,2,2,7793,D,A,B,A,A+,1457 Bellevue Ave 13,Phil Chen,Compass,1,2,1,2,5,2,10,No,No,No,Yes,Yes,No,CA,94010
Burlingame,81,House ,1650000.0,1640.0,2,2,7793,D,A,B,A,A+,1226 El Camino Real 201,Michael Yao,Brilyhome Inc.,1,2,2,2,2,3,0,No,No,No,No,No,No,CA,94010
Burlingame,81,House ,2795000.0,1650.0,2,2,13200,D,A,B,A,A+,1029 Capuchino Ave,Joseph Miller,Miller/Steil Properties,1,2,1,2,2,2,0,No,No,No,No,No,No,CA,94010
